"","name_searched","taxonomic_status","nomenclatural_status","name_accepted","phy_names","str_order","phy_new_names"
"142","Myrcia torta","Accepted","Available","Myrcia torta","myrcia_torta",142,"myrcia_torta"
"143","Myrcia multiflora","Accepted","Available","Myrcia multiflora","myrcia_multiflora",143,"myrcia_multiflora"
"144","Myrcia rubella","Accepted","Available","Myrcia rubella","myrcia_rubella",144,"myrcia_rubella"
"145","Myrcia decorticans","Accepted","Available","Myrcia decorticans","myrcia_decorticans",145,"myrcia_decorticans"
"146","Myrcia polyantha","Synonym","Available","Myrcia splendens","myrcia_polyantha",146,"myrcia_splendens"
"147","Myrcia micropetala","Accepted","Available","Myrcia micropetala","myrcia_micropetala",147,"myrcia_micropetala"
"148","Myrcia spatulifolia","not found",NA,"Myrcia spathulifolia","myrcia_spatulifolia",148,"myrcia_spathulifolia"
"149","Myrcia hirtiflora","Accepted","Available","Myrcia hirtiflora","myrcia_aff_hirtiflora",149,"myrcia_hirtiflora"
"150","Myrcia racemosa","Accepted","Available","Myrcia racemosa","myrcia_aff_racemosa",150,"myrcia_racemosa"
"151","Myrcia racemosa","Accepted","Available","Myrcia racemosa","myrcia_racemosa",151,"myrcia_racemosa"
"152","Myrcia blanchetiana","Accepted","Available","Myrcia blanchetiana","myrcia_blanchetiana",152,"myrcia_blanchetiana"
"153","Myrcia sessilissima","Accepted","Available","Myrcia sessilissima","myrcia_sessilissima",153,"myrcia_sessilissima"
"154","Myrcia platyclada","Accepted","Available","Myrcia platyclada","myrcia_platyclada",154,"myrcia_platyclada"
"155","Myrcia sp2","not found",NA,NA,"myrcia_sp2",155,"myrcia_sp2"
"156","Myrcia inaequiloba","Accepted","Available","Myrcia inaequiloba","myrcia_inaequiloba",156,"myrcia_inaequiloba"
"157","Myrcia lucida","Synonym","Available","Myrcia inaequiloba","myrcia_aff_lucida",157,"myrcia_inaequiloba"
"158","Myrcia sp3","not found",NA,NA,"myrcia_sp3",158,"myrcia_sp3"
"159","Myrcia grandis","Accepted","Available","Myrcia grandis","myrcia_grandis",159,"myrcia_grandis"
"160","Marlierea caudata","Homotypic_Synonym","Available","Myrcia caudata","marlierea_caudata",160,"myrcia_caudata"
"161","Marlierea mcvaughii","Homotypic_Synonym","Available","Myrcia mcvaughii","marlierea_mcvaughii",161,"myrcia_mcvaughii"
"162","Calyptranthes multiflora","Homotypic_Synonym","Available","Myrcia aulomyrcioides","calyptranthes_multiflora",162,"myrcia_aulomyrcioides"
"163","Marlierea montana","Homotypic_Synonym","Available","Myrcia neomontana","marlierea_aff_montana",163,"myrcia_neomontana"
"164","Marlierea sp harms 20","not found",NA,NA,"marlierea_sp_harms_20",164,"marlierea_sp_harms_20"
"165","Myrcia saxatilis","Accepted","Available","Myrcia saxatilis","myrcia_saxatilis",165,"myrcia_saxatilis"
"166","Marlierea umbraticola","Homotypic_Synonym","Available","Myrcia umbraticola","marlierea_umbraticola",166,"myrcia_umbraticola"
"167","Myrcia rupta","Accepted","Available","Myrcia rupta","myrcia_rupta",167,"myrcia_rupta"
"168","Myrcia abbotiana","Accepted","Available","Myrcia abbotiana","myrcia_abbotiana",168,"myrcia_abbotiana"
"169","Myrcia maricaensis","Synonym","Available","Myrcia portoricensis","myrcia_maricaensis",169,"myrcia_portoricensis"
"170","Myrcia minutiflora","Accepted","Available","Myrcia minutiflora","myrcia_minutiflora",170,"myrcia_minutiflora"
"171","Marlierea obscura","Homotypic_Synonym","Available","Myrcia neoobscura","marlierea_obscura",171,"myrcia_neoobscura"
"172","Marlierea riedeliana","Homotypic_Synonym","Available","Myrcia neoriedeliana","marlierea_riedeliana",172,"myrcia_neoriedeliana"
"173","Marlierea suaveolens","Homotypic_Synonym","Available","Myrcia neosuaveolens","marlierea_suaveolens",173,"myrcia_neosuaveolens"
"174","Marlierea tomentosa","Synonym","Available","Myrcia strigipes","marlierea_tomentosa",174,"myrcia_strigipes"
"175","Marlierea neuwiedeana","Homotypic_Synonym","Available","Myrcia neuwiedeana","marlierea_neuwiedeana",175,"myrcia_neuwiedeana"
"176","Myrcia sp4","not found",NA,NA,"myrcia_sp4",176,"myrcia_sp4"
"177","Myrcia sp5","not found",NA,NA,"myrcia_sp5",177,"myrcia_sp5"
"178","Myrcia sp6","not found",NA,NA,"myrcia_sp6",178,"myrcia_sp6"
"179","Marlierea regeliana","Homotypic_Synonym","Available","Myrcia neoregeliana","marlierea_regeliana",179,"myrcia_neoregeliana"
"180","Marlierea excoriata","Homotypic_Synonym","Available","Myrcia excoriata","marlierea_excoriata",180,"myrcia_excoriata"
"181","Marlierea sucrei","Homotypic_Synonym","Available","Myrcia sucrei","marlierea_sucrei",181,"myrcia_sucrei"
"182","Myrcia marianae","Accepted","Available","Myrcia marianae","myrcia_marianae",182,"myrcia_marianae"
"183","Marlierea glabra","Homotypic_Synonym","Available","Myrcia neoglabra","marlierea_glabra",183,"myrcia_neoglabra"
"184","Myrcia sp7","not found",NA,NA,"myrcia_sp7",184,"myrcia_sp7"
"185","Marlierea obversa","Homotypic_Synonym","Available","Myrcia obversa","marlierea_obversa",185,"myrcia_obversa"
"186","Myrcia eumecephylla","Accepted","Available","Myrcia eumecephylla","myrcia_eumecephylla",186,"myrcia_eumecephylla"
"187","Myrcia clavija","Accepted","Available","Myrcia clavija","myrcia_clavija",187,"myrcia_clavija"
"188","Myrcia hexasticha","Accepted","Available","Myrcia hexasticha","myrcia_hexasticha",188,"myrcia_hexasticha"
"189","Myrcia tetraphylla","Accepted","Available","Myrcia tetraphylla","myrcia_tetraphylla",189,"myrcia_tetraphylla"
"190","Marlierea dimorpha","Homotypic_Synonym","Available","Myrcia neodimorpha","marlierea_dimorpha",190,"myrcia_neodimorpha"
"191","Myrcia sp8","not found",NA,NA,"myrcia_sp8",191,"myrcia_sp8"
"192","Myrcia riodocensis","Accepted","Available","Myrcia riodocensis","myrcia_riodocensis",192,"myrcia_riodocensis"
"193","Myrcia amazonica","Accepted","Available","Myrcia amazonica","myrcia_amazonica",193,"myrcia_amazonica"
"194","Myrcia amazonica","Accepted","Available","Myrcia amazonica","myrcia_aff_amazonica",194,"myrcia_amazonica"
"195","Myrcia subobliqua","Accepted","Available","Myrcia subobliqua","myrcia_aff_subobliqua",195,"myrcia_subobliqua"
